Country Name,Country Code,Indicator Name,2009,2012,2016
Aruba,ABW,Individuals using the Internet (% of population),58,74,93.54245387
Afghanistan,AFG,Individuals using the Internet (% of population),3.55,5.454545455,11.2
Angola,AGO,Individuals using the Internet (% of population),2.3,6.5,13
Albania,ALB,Individuals using the Internet (% of population),41.2,54.65595904,66.3634447
Andorra,AND,Individuals using the Internet (% of population),78.53,86.43442462,97.93063712
Arab World,ARB,Individuals using the Internet (% of population),21.56866715,30.37007531,41.48747671
United Arab Emirates,ARE,Individuals using the Internet (% of population),64,84.9999915,90.60000732
Argentina,ARG,Individuals using the Internet (% of population),34,55.8,70.96898082
Armenia,ARM,Individuals using the Internet (% of population),15.3,37.5,64.34602977
American Samoa,ASM,Individuals using the Internet (% of population),,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),42,58,73
Australia,AUS,Individuals using the Internet (% of population),74.25,79,86.54
Austria,AUT,Individuals using the Internet (% of population),73.45,80.02999392,84.32374257
Azerbaijan,AZE,Individuals using the Internet (% of population),27.4,54.2,78.2
Burundi,BDI,Individuals using the Internet (% of population),0.9,1.219999945,5.173626777
Belgium,BEL,Individuals using the Internet (% of population),70,80.71999055,86.51647666
Benin,BEN,Individuals using the Internet (% of population),2.24,4.5,11.99404791
Burkina Faso,BFA,Individuals using the Internet (% of population),1.13,3.725034916,13.96
Bangladesh,BGD,Individuals using the Internet (% of population),3.1,5,18.02
Bulgaria,BGR,Individuals using the Internet (% of population),45,51.89998767,59.82554766
Bahrain,BHR,Individuals using the Internet (% of population),53,88,97.9999807
"Bahamas, The",BHS,Individuals using the Internet (% of population),33.88,71.74820281,80
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),37.74,45.06450043,60.25653543
Belarus,BLR,Individuals using the Internet (% of population),27.43,46.91,71.11304576
Belize,BLZ,Individuals using the Internet (% of population),27.2,31,44.57574032
Bermuda,BMU,Individuals using the Internet (% of population),83.25,91.29930452,98
Bolivia,BOL,Individuals using the Internet (% of population),16.8,35.34,39.6975146
Brazil,BRA,Individuals using the Internet (% of population),39.22,48.56,60.87254007
Barbados,BRB,Individuals using the Internet (% of population),64.7,71.2,79.54939789
Brunei Darussalam,BRN,Individuals using the Internet (% of population),49,60.27306504,90
Bhutan,BTN,Individuals using the Internet (% of population),7.17,15.6,41.77264453
Botswana,BWA,Individuals using the Internet (% of population),6.15,16,39.36299738
Central African Republic,CAF,Individuals using the Internet (% of population),1.8,3,4
Canada,CAN,Individuals using the Internet (% of population),80.3,83,91.16
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),55.09862076,61.71634151,71.34198079
Switzerland,CHE,Individuals using the Internet (% of population),81.3,85.2,89.13468774
Channel Islands,CHI,Individuals using the Internet (% of population),,,
Chile,CHL,Individuals using the Internet (% of population),41.56,55.05,83.55858602
China,CHN,Individuals using the Internet (% of population),28.9,42.30011749,53.2
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),2,5,41.20781493
Cameroon,CMR,Individuals using the Internet (% of population),3.84,7.5,23.20297197
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),0.56,1.679961015,6.20997406
"Congo, Rep.",COG,Individuals using the Internet (% of population),4.5,6.106695024,8.121949323
Colombia,COL,Individuals using the Internet (% of population),30,48.98,58.13649357
Comoros,COM,Individuals using the Internet (% of population),3.5,5.975296308,7.938322771
Cabo Verde,CPV,Individuals using the Internet (% of population),21,34.74,50.32281787
Costa Rica,CRI,Individuals using the Internet (% of population),34.33,47.5,65.88044919
Caribbean small states,CSS,Individuals using the Internet (% of population),31.75089746,42.49399165,52.95321095
Cuba,CUB,Individuals using the Internet (% of population),14.33,21.2,42.97867519
Curacao,CUW,Individuals using the Internet (% of population),,,61.85551074
Cayman Islands,CYM,Individuals using the Internet (% of population),64.5,69.7,79
Cyprus,CYP,Individuals using the Internet (% of population),49.81,60.6898684,75.9002054
Czech Republic,CZE,Individuals using the Internet (% of population),64.43,73.43000782,76.4811987
Germany,DEU,Individuals using the Internet (% of population),79,82.34999847,84.16520664
Djibouti,DJI,Individuals using the Internet (% of population),4,8.267232892,13.13491511
Dominica,DMA,Individuals using the Internet (% of population),42.02,49.8,67.03
Denmark,DNK,Individuals using the Internet (% of population),86.84,92.26001172,96.96778525
Dominican Republic,DOM,Individuals using the Internet (% of population),27.72,42.32,63.87086474
Algeria,DZA,Individuals using the Internet (% of population),11.23,18.2,42.94552688
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),23.78902104,36.08240618,48.72880783
Early-demographic dividend,EAR,Individuals using the Internet (% of population),9.664196844,18.07650763,30.16674985
East Asia & Pacific,EAS,Individuals using the Internet (% of population),29.55069612,40.74375403,53.18742089
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),27.46059309,48.82686926,62.5179342
Europe & Central Asia,ECS,Individuals using the Internet (% of population),50.53584758,63.59047777,72.44627768
Ecuador,ECU,Individuals using the Internet (% of population),24.6,35.13514645,54.06292473
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),20,26.4,41.24806709
Euro area,EMU,Individuals using the Internet (% of population),67.10576869,74.11900702,77.98945493
Eritrea,ERI,Individuals using the Internet (% of population),0.54,0.8,1.17711872
Spain,ESP,Individuals using the Internet (% of population),62.4,69.80999994,80.56133294
Estonia,EST,Individuals using the Internet (% of population),72.5,78.38992593,87.24023275
Ethiopia,ETH,Individuals using the Internet (% of population),0.54,2.9,15.36692386
European Union,EUU,Individuals using the Internet (% of population),67.32112987,73.85313847,79.23845795
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),3.983882648,8.562306015,17.13823905
Finland,FIN,Individuals using the Internet (% of population),82.49,89.87999797,87.70364996
Fiji,FJI,Individuals using the Internet (% of population),17,33.74235675,46.50697831
France,FRA,Individuals using the Internet (% of population),71.58,81.44,79.26981132
Faroe Islands,FRO,Individuals using the Internet (% of population),75.18,85.33518924,95.10868167
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),15.35,25.974423,33.35216255
Gabon,GAB,Individuals using the Internet (% of population),9.5,24,48.05227375
United Kingdom,GBR,Individuals using the Internet (% of population),83.56,87.47999842,94.77580063
Georgia,GEO,Individuals using the Internet (% of population),20.07,36.94,58.45928961
Ghana,GHA,Individuals using the Internet (% of population),5.44,10.6,34.66600065
Gibraltar,GIB,Individuals using the Internet (% of population),65.07,65.017,94.44447158
Guinea,GIN,Individuals using the Internet (% of population),0.94,3.1,9.8
"Gambia, The",GMB,Individuals using the Internet (% of population),7.63,12.44922872,18.5
Guinea-Bissau,GNB,Individuals using the Internet (% of population),2.303280592,2.893990621,3.761413832
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),2.13,13.94318219,23.77999997
Greece,GRC,Individuals using the Internet (% of population),42.4,55.06999344,69.08791547
Grenada,GRD,Individuals using the Internet (% of population),24.05,32,55.85640782
Greenland,GRL,Individuals using the Internet (% of population),62.83,64.8960101,68.50087368
Guatemala,GTM,Individuals using the Internet (% of population),9.3,16,34.50932609
Guam,GUM,Individuals using the Internet (% of population),50.64202838,61.53415931,77.00999989
Guyana,GUY,Individuals using the Internet (% of population),23.9,30.5,35.66
High income,HIC,Individuals using the Internet (% of population),70.04917818,75.38894162,84.16797688
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),69.4,72.9,87.47941467
Honduras,HND,Individuals using the Internet (% of population),9.8,18.12,29.5
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),3.12705313,6.608326675,15.3506985
Croatia,HRV,Individuals using the Internet (% of population),50.58,61.93997315,72.69726967
Haiti,HTI,Individuals using the Internet (% of population),8.1,9.8,12.23260161
Hungary,HUN,Individuals using the Internet (% of population),62,70.57999815,79.25941213
IBRD only,IBD,Individuals using the Internet (% of population),20.29754393,32.10113922,43.91361957
IDA & IBRD total,IBT,Individuals using the Internet (% of population),16.83444898,26.58998277,37.5202087
IDA total,IDA,Individuals using the Internet (% of population),5.051245976,9.006529484,18.24760825
IDA blend,IDB,Individuals using the Internet (% of population),8.122496055,13.17006184,20.80293408
Indonesia,IDN,Individuals using the Internet (% of population),6.92,14.52,25.4473537
IDA only,IDX,Individuals using the Internet (% of population),3.406963138,6.854645784,16.93567254
Isle of Man,IMN,Individuals using the Internet (% of population),,,
India,IND,Individuals using the Internet (% of population),5.12,12.58006091,22
Not classified,INX,Individuals using the Internet (% of population),,,
Ireland,IRL,Individuals using the Internet (% of population),67.38,76.91999254,85.01113212
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),13.8,22.73,53.22677167
Iraq,IRQ,Individuals using the Internet (% of population),1.06,7.1,21.23
Iceland,ISL,Individuals using the Internet (% of population),93,96.20979955,98.2400163
Israel,ISR,Individuals using the Internet (% of population),63.12,70.8,79.65312418
Italy,ITA,Individuals using the Internet (% of population),48.83,55.82999799,61.32425277
Jamaica,JAM,Individuals using the Internet (% of population),24.3,33.79,44.36685637
Jordan,JOR,Individuals using the Internet (% of population),26,37,62.30219257
Japan,JPN,Individuals using the Internet (% of population),78,79.4964,93.18272128
Kazakhstan,KAZ,Individuals using the Internet (% of population),18.2,61.90662747,74.58772647
Kenya,KEN,Individuals using the Internet (% of population),6.1,10.5,16.6
Kyrgyz Republic,KGZ,Individuals using the Internet (% of population),16,19.8,37
Cambodia,KHM,Individuals using the Internet (% of population),0.53,4.94,32.39845171
Kiribati,KIR,Individuals using the Internet (% of population),8.97,10.74679768,13.7
St. Kitts and Nevis,KNA,Individuals using the Internet (% of population),55.7,64,76.81767491
"Korea, Rep.",KOR,Individuals using the Internet (% of population),81.6,84.07,92.84302568
Kuwait,KWT,Individuals using the Internet (% of population),50.8,70.45,78.36738376
Latin America & Caribbean (excluding high income),LAC,Individuals using the Internet (% of population),30.47105626,42.51234404,56.38747414
Lao PDR,LAO,Individuals using the Internet (% of population),6,10.74767619,21.87
Lebanon,LBN,Individuals using the Internet (% of population),30.14,61.24978572,76.11
Liberia,LBR,Individuals using the Internet (% of population),2,2.6,7.319106411
Libya,LBY,Individuals using the Internet (% of population),10.8,,20.27215956
St. Lucia,LCA,Individuals using the Internet (% of population),31,34.82,46.72907806
Latin America & Caribbean,LCN,Individuals using the Internet (% of population),31.03929555,43.16289336,57.35461427
Least developed countries: UN classification,LDC,Individuals using the Internet (% of population),2.6862815,6.013219184,15.06093524
Low income,LIC,Individuals using the Internet (% of population),3.163519496,5.656771531,13.08290863
Liechtenstein,LIE,Individuals using the Internet (% of population),75,89.4077,98.09390389
Sri Lanka,LKA,Individuals using the Internet (% of population),8.78,18.2854,16.4
Lower middle income,LMC,Individuals using the Internet (% of population),7.775110165,15.41742596,26.0708924
Low & middle income,LMY,Individuals using the Internet (% of population),16.34811816,26.10844016,37.1359991
Lesotho,LSO,Individuals using the Internet (% of population),3.72,10,27.36
Late-demographic dividend,LTE,Individuals using the Internet (% of population),30.60002452,44.71076176,56.75187195
Lithuania,LTU,Individuals using the Internet (% of population),59.76,67.22998933,74.37664556
Luxembourg,LUX,Individuals using the Internet (% of population),87.31,91.94992374,98.13669867
Latvia,LVA,Individuals using the Internet (% of population),66.84,73.11994377,79.84209778
"Macao SAR, China",MAC,Individuals using the Internet (% of population),54,61.31,81.64298546
