Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2012 [YR2012],2016 [YR2016]
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Afghanistan,AFG,32.83070633,33.59872862,35.29656896
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Albania,ALB,41.54512462,42.46876885,41.75172925
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Algeria,DZA,16.76722085,18.82684822,18.04019498
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,American Samoa,ASM,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Andorra,AND,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Angola,AGO,49.16148163,49.29015106,49.53723477
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Antigua and Barbuda,ATG,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Argentina,ARG,41.58252067,41.3492506,41.72607534
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Armenia,ARM,46.33110921,47.16753963,45.9828195
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Aruba,ABW,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Australia,AUS,45.19197882,45.42709748,46.15283037
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Austria,AUT,46.04779004,46.50652549,46.7113407
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Azerbaijan,AZE,48.47866003,48.96004678,48.78082209
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Bahamas, The",BHS,47.6643005,47.67462003,47.11621685
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bahrain,BHR,20.80171321,21.27714221,21.41734136
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bangladesh,BGD,25.43517895,26.92322316,28.84121267
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Barbados,BRB,49.02590243,48.9626773,49.40795863
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Belarus,BLR,49.62059485,49.68037571,49.6836368
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Belgium,BEL,44.92558915,45.27037833,45.92623522
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Belize,BLZ,38.20319751,39.92087366,39.88142574
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Benin,BEN,49.51958432,49.09036739,49.19540907
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bermuda,BMU,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bhutan,BTN,43.64881073,45.15914035,40.27942116
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bolivia,BOL,43.32828731,42.11678475,42.83814177
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bosnia and Herzegovina,BIH,39.54287993,39.39765801,38.76697378
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Botswana,BWA,46.26699917,46.99274486,48.45494969
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Brazil,BRA,42.70182826,42.27246302,42.86098534
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,British Virgin Islands,VGB,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Brunei Darussalam,BRN,41.35999957,41.65265894,42.42641095
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bulgaria,BGR,45.78909294,46.6384107,46.33039452
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Burkina Faso,BFA,43.55550492,44.12332594,44.72883593
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Burundi,BDI,51.86569268,51.95178283,51.98015629
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cabo Verde,CPV,44.23421703,45.09494481,46.71502986
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cambodia,KHM,50.19381679,49.63641414,48.45381413
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cameroon,CMR,47.42302409,46.88663653,46.99874183
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Canada,CAN,47.02511981,47.21482857,47.16459801
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Cayman Islands,CYM,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Central African Republic,CAF,46.24026342,45.98525294,45.68669913
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Chad,TCD,45.07781395,45.28933902,45.63135588
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Channel Islands,CHI,43.46796374,43.12734696,43.87681381
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Chile,CHL,39.34385436,40.70066755,41.4773896
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,China,CHN,44.22981162,44.09274552,43.96958987
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Colombia,COL,41.72195904,42.9167348,43.17481893
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Comoros,COM,40.89692939,41.42630985,42.05485812
