Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2012 [YR2012],2016 [YR2016]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,60.484,62.054,63.763
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,76.221,77.252,78.194
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,74.644,75.436,76.298
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,54.311,57.236,59.925
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,75.683,76.087,76.617
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,75.116,75.598,76.221
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,73.118,73.82,74.64
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,74.872,75.299,75.868
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,81.5439024390244,82.0463414634146,82.4487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,80.3317073170732,80.9365853658537,81.6414634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,70.597,71.506,72.493
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.067,72.424,73.329
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,75.913,76.342,76.899
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,69.485,70.606,71.785
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,78.272,78.547,78.888
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.4073170731707,71.9658536585366,73.8268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.0341463414634,80.3853658536585,81.4390243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,71.541,73.044,74.219
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,59.009,59.842,60.885
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,79.3884390243903,81.6778048780488,81.2270731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,67.882,69.263,70.781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,67.476,69.01,70.626
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,75.844,76.401,76.998
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,58.447,63.511,68.178
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,73.3,74.209,75.23
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,74.623,74.962,75.45
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,73.4121951219512,74.3146341463415,74.8121951219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,56.377,58.374,60.354
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,56.488,58.568,60.528
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,70.911,71.445,72.347
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,66.014,67.48,68.977
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,54.627,56.073,58.063
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,80.9951219512195,81.6487804878049,82.142243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,46.719,48.638,51.593
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,50.346,51.928,53.438
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,81.268,81.883,82.6
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,78.558,79.176,79.779
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,74.119,75.013,76.21
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,75.193,75.882,76.732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,61.475,62.595,63.7
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,56.35,57.914,59.655
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,59.321,61.423,63.556
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,78.626,79.074,79.738
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,52.313,54.271,56.567
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,76.1682926829268,76.9243902439024,78.0219512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,78.256,78.446,78.607
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,76.1560975609756,77.5243902439024,77.719512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,79.245,79.812,80.513
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,77.0780487804878,78.0756097560976,79.0268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,78.5975609756098,80.0512195121951,80.8536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,59.561,61.395,65.064
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,71.806,72.523,73.471
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,74.895,75.495,76.365
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,70.159,70.736,71.482
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,70.978,71.692,72.644
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,55.329,56.288,57.713
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,61.602,63.238,65.111
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,74.8243902439024,76.3268292682927,77.6414634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,45.275,49.862,56.962
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,60.645,63.281,65.482
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,80.3878048780488,81.1414634146341,82.1975609756098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,66.559,66.859,67.175
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,79.719512195122,80.6268292682927,81.4292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,81.4146341463415,81.9682926829268,82.5243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,75.363,76.074,77.024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,60.637,62.924,65.418
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,59.334,60.178,61.166
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,71.18,72.097,73.207
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,79.8365853658537,80.5390243902439,80.990243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,60.645,61.72,63.124
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,80.1878048780488,80.6341463414634,81.3878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,70.4678048780488,71.2990243902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,72.96,72.669,72.408
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,77.71,78.408,79.391
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,71.108,72.236,73.541
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,56.279,57.905,60.17
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,54.113,55.645,57.328
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,67.792,68.575,69.454
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,60.148,61.26,62.896
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,73.061,73.814,74.701
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,82.7756097560976,83.4804878048781,84.2268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,73.9048780487805,75.0634146341463,76.0634146341464
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,81.7512195121951,82.9170731707317,82.2048780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,66.244,67.545,68.897
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,68.853,69.866,71.035
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,73.457,74.776,76.047
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,68.34,69.148,70.122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,80.190243902439,80.8463414634146,81.7048780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,81.4048780487805,81.7048780487805,82.4073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,81.6365853658537,82.2390243902439,83.2439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,74.071,74.001,74.175
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,82.9314634146342,83.0960975609756,83.9848780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,73.266,73.722,74.184
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,68.4292682926829,69.61,72.3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,59.932,62.659,65.393
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,65.48,66.381,67.577
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People’s Rep.",PRK,69.185,70.454,71.711
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,79.9682926829268,80.819512195122,82.2756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,69.6487804878049,70.4975609756098,71.6463414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,74.162,74.728,75.224
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,69.1024390243903,70.0024390243902,70.9512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,63.797,65.267,66.924
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,73.0804878048781,73.7780487804878,74.580487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,78.161,78.611,78.8
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,44.146,47.416,52.059
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,58.971,60.663,62.802
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,72.129,71.901,72.311
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,81.5,82.3829268292683,82.2585365853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,72.9146341463415,73.8634146341464,74.6707317073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,80.6365853658537,81.3926829268293,82.6853658536585
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,82.462,83.158,83.854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,62.944,64.28,65.931
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,53.888,58.629,62.681
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,74.305,74.877,75.649
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,75.499,76.664,78.013
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,54.756,56.135,57.987
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,80.2414634146342,80.7463414634146,82.4536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,62.266,63.079,64.208
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,72.8824390243903,73.8634146341464,74.3948780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,75.128,74.966,74.917
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,66.29,66.817,67.471
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,69.119,70.581,71.617
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..,..
