,Country,Region,HPI,HPIRank,Year,Code,Internet,LifeExpect,GovHealth,PriHealth,PPP,PopDensity,UnEmployment,WomenParliamant,LaborForceFemale,SocialSupport,FreedomToChoice,Corruption
1,Albania,7b,47.91,54,2009,ALB,41.2,76.221,239.3660907,188.8296449,8814.799606,106.8437591,13.67399979,16.4,41.54512462,0.833046615,0.525223255,0.863665402
2,Algeria,3a,51.23,40,2009,DZA,11.23,74.644,465.2056927,190.6938023,12291.76077,14.8353225,10.15999985,7.7,16.76722085,NA,NA,NA
3,Angola,4a,26.78,130,2009,AGO,2.3,54.311,138.4978897,58.32272544,6092.783245,18.05910083,10.60900021,38.6,49.16148163,NA,NA,NA
4,Argentina,1b,58.95,15,2009,ARG,34,75.116,942.2127132,550.3466537,16753.39489,14.79261005,8.645000458,38.5,41.58252067,0.918693185,0.63664645,0.8847422
5,Armenia,7a,48.28,48,2009,ARM,15.3,73.118,114.4710929,163.0675148,6326.657969,101.4433439,18.73999977,9.2,46.33110921,0.680006921,0.441412747,0.881887496
6,Australia,2a,36.64,102,2009,AUS,74.25,81.54390244,2463.518332,1091.550394,40300.30823,2.823594496,5.56099987,27.3,45.19197882,NA,NA,NA
7,Austria,2c,47.69,57,2009,AUT,73.45,80.33170732,3051.182505,1137.314813,40926.52376,101.0356656,5.301000118,27.9,46.04779004,NA,NA,NA
8,Azerbaijan,7a,41.21,85,2009,AZE,27.4,70.597,196.4858854,603.6257255,15162.8878,108.2912879,5.739999771,11.4,48.47866003,0.735970318,0.498138398,0.753849745
9,Bangladesh,5a,54.09,31,2009,BGD,3.1,69.485,11.80756355,40.63259593,2335.918717,1121.032473,5,18.6,25.43517895,0.527813554,0.630931079,0.776003957
10,Belarus,7c,35.67,104,2009,BLR,27.43,70.40731707,524.7900166,285.8974877,14580.5808,46.87291687,6.099999905,31.8,49.62059485,0.907777846,0.679292619,0.67554307
11,Belgium,2c,45.36,64,2009,BEL,70,80.03414634,3140.298136,673.802205,38008.8318,356.555251,7.907999992,38,44.92558915,NA,NA,NA
12,Belize,1a,54.53,27,2009,BLZ,27.2,71.541,256.7331036,127.0267503,7533.770788,13.79460763,10.11499977,0,38.20319751,NA,NA,NA
13,Benin,4c,24.58,134,2009,BEN,2.24,59.009,18.10939825,35.24309064,1773.729771,79.32518624,0.967000008,10.8,49.51958432,NA,NA,NA
14,Bhutan,5a,58.5,17,2009,BTN,7.17,67.882,137.1331226,31.63667954,5967.750808,17.79581312,3.960000038,8.5,43.64881073,NA,NA,NA
15,Bolivia,1b,49.35,47,2009,BOL,16.8,67.476,164.776927,84.23533161,5045.331273,9.124693991,2.862999916,22.3,43.32828731,0.831319928,0.778938591,0.762604535
16,Bosnia and Herzegovina,7b,44.96,65,2009,BIH,37.74,75.844,552.329099,251.7247136,9030.464332,72.96753906,24.06800079,19,39.54287993,0.735232174,0.257533818,0.958739877
17,Botswana,4a,20.85,141,2009,BWA,6.15,58.447,542.6075751,207.615982,12007.23239,3.446964163,16.16900063,7.9,46.26699917,NA,NA,NA
18,Brazil,1b,61.01,9,2009,BRA,39.22,73.3,495.847318,617.8033581,13288.43881,23.19732716,8.522000313,8.8,42.70182826,0.912818074,0.766716063,0.722514987
19,Bulgaria,7b,42.04,82,2009,BGR,45,73.41219512,501.7506517,430.7899557,14146.1069,68.57445652,6.816999912,20.8,45.78909294,NA,NA,NA
20,Burkina Faso,4c,22.4,138,2009,BFA,1.13,56.377,24.8831695,28.27503055,1348.005973,55.34027047,4.396999836,15.3,43.55550492,NA,NA,NA
21,Myanmar,5a,51.23,39,2009,MMR,0.22,63.089,6.02149794,57.36197883,3280.274594,76.91775142,0.908999979,..,41.89860287,NA,NA,NA
22,Burundi,4b,21.84,139,2009,BDI,0.9,56.488,15.31711824,34.02636521,698.1735533,327.0119938,1.794999957,31.4,51.86569268,0.325692534,0.427355915,0.718203425
23,Cambodia,6c,42.34,80,2009,KHM,0.53,66.014,28.49147561,91.04696855,2340.558567,79.84140041,1.281000018,21.1,50.19381679,0.818258047,0.937233329,0.96477896
24,Cameroon,4c,27.22,126,2009,CMR,3.84,54.627,20.75716924,96.92985747,2767.974836,41.86481987,3.693000078,13.9,47.42302409,0.728693902,0.698030412,0.925447285
25,Canada,2b,39.4,89,2009,CAN,80.3,80.99512195,2995.061902,1087.103074,38797.38505,3.698120418,8.343999863,22.1,47.02511981,0.94284451,0.915057838,0.412622124
26,Central African Republic,4a,22.88,137,2009,CAF,1.8,46.719,6.60420288,15.04528284,919.4085589,6.962703458,6.872000217,9.6,46.24026342,NA,NA,NA
27,Chad,4b,34.27,109,2009,TCD,1.5,50.346,15.75373983,53.69877533,1688.082282,9.180548761,1.611999989,5.2,45.07781395,0.645713627,0.401370287,0.931180775
28,Chile,1b,49.72,46,2009,CHL,41.56,78.558,683.0606092,486.5614635,16159.60523,22.71077141,11.31299973,14.2,39.34385436,0.831581831,0.746614039,0.734211445
29,China,6a,57.11,20,2009,CHN,28.9,74.119,176.4393638,180.3605028,8352.689933,141.8012404,4.699999809,21.3,44.22981162,0.79803437,0.771143258,NA
30,Colombia,1b,66.1,6,2009,COL,30,75.193,467.0834483,188.7550342,10274.48986,40.33353222,12.06599998,8.4,41.72195904,0.885926604,0.757100701,0.837143481
31,"Congo, Rep.",4a,32.43,112,2009,COG,4.5,59.321,29.68399313,53.52894784,4886.383669,12.13877306,16.10000038,7.3,49.19936166,NA,NA,NA
32,"Congo, Dem. Rep.",4a,29.04,120,2009,COD,0.56,56.35,1.8091172,13.7795906,616.6586194,27.54618292,3.66899991,8.4,49.12150643,NA,NA,NA
33,Costa Rica,1a,76.12,1,2009,CRI,34.33,78.626,688.6072998,268.7717248,12058.52382,88.53779867,7.712999821,36.8,37.55527871,0.899781644,0.886061072,0.786559105
34,Croatia,7b,47.23,60,2009,HRV,50.58,76.16829268,1352.653565,280.3898594,20034.7358,76.93318442,9.201999664,23.5,46.08490218,0.860663235,0.549258351,0.958130538
35,Cuba,1a,65.68,7,2009,CUB,14.33,78.256,1996.307528,176.1302665,..,105.4745303,1.669999957,43.2,38.5576795,NA,NA,NA
36,Cyprus,2e,46.19,62,2009,CYP,49.81,79.245,952.5009646,1268.366378,33888.28523,118.8401515,5.363999844,12.5,44.67743292,0.811736107,0.774590671,0.801423609
37,Czech Republic,7b,38.31,92,2009,CZE,64.43,77.07804878,1670.873876,345.0596069,27599.30086,135.1965825,6.662000179,15.5,43.39319512,NA,NA,NA
38,Denmark,2d,35.47,105,2009,DNK,86.84,78.59756098,3643.811975,670.4972646,40339.67713,130.1695734,6.006999969,38,47.09858934,0.93889159,0.949335575,0.205769762
39,Djibouti,4b,40.44,87,2009,DJI,4,59.561,64.84511439,33.53040275,..,35.71281277,11.71700001,13.8,39.15706104,0.900565028,0.649316013,0.634222806
40,Dominican Republic,1a,71.78,2,2009,DOM,27.72,71.806,234.7151037,273.2197414,10283.16147,198.2350859,5.467000008,19.7,34.86559717,0.87816149,0.862979472,0.805910408
41,Ecuador,1b,55.46,25,2009,ECU,24.6,74.895,235.9956461,332.8455059,8841.984389,59.48793687,4.607999802,32.3,39.04515948,0.779397964,0.736880839,0.774304509
42,Egypt,3a,60.32,12,2009,EGY,20,70.159,149.345415,269.9264963,9411.304969,81.5056487,9.086999893,1.8,23.2867504,0.744179964,0.611082554,0.80086565
43,El Salvador,1a,61.46,8,2009,SLV,12.11,70.978,248.7445016,188.7611545,5955.813866,297.1856178,7.329999924,19,41.11588688,0.734112799,0.670932412,0.647527635
44,Estonia,7b,26.42,131,2009,EST,72.5,74.82439024,1034.101894,300.9283794,20502.3537,31.48183534,13.54800034,22.8,48.8424937,0.873774767,0.61070931,0.793151677
45,Ethiopia,4b,28.1,124,2009,ETH,0.54,60.645,8.58995208,18.40978067,950.5543294,85.233913,2.354000092,21.9,46.02705186,NA,NA,NA
46,Finland,2d,47.23,59,2009,FIN,82.49,79.7195122,2608.510022,744.5213386,37830.02314,17.56785456,8.248999596,40,48.45312949,NA,NA,NA
47,France,2c,43.86,71,2009,FRA,71.58,81.41463415,3006.835987,919.1598312,34685.1738,118.1740731,8.736000061,18.9,47.17709921,0.918158531,0.798213184,0.654168189
48,Georgia,7a,43.6,72,2009,GEO,20.07,71.18,118.3633514,404.1218383,6316.004421,66.73464782,18.29999924,5.1,45.54675698,0.54351306,0.495314002,0.534585297
49,Germany,2c,48.07,51,2009,DEU,79,79.83658537,3435.599035,684.2029946,37042.44788,234.9396374,7.742000103,32.8,45.46257918,0.934782326,0.843784511,0.689930737
50,Ghana,4c,37.1,100,2009,GHA,5.44,60.645,82.31764898,71.85216899,2784.138279,106.2272128,5.171999931,8.3,47.79299706,0.633197725,0.75747776,0.889738321
51,Greece,2e,37.58,97,2009,GRC,42.4,80.18780488,1948.154679,929.3200326,30365.39993,86.16770365,9.616000175,17.3,41.65067516,0.793317616,0.443107843,0.958768308
52,Guatemala,1a,68.37,4,2009,GTM,9.3,71.108,145.4171354,249.7955365,6458.253034,133.5970791,3.308000088,12,34.47687103,0.833815634,0.643478751,0.754889369
53,Guinea,4c,30.25,116,2009,GIN,0.94,56.279,4.00717196,29.46581773,1574.552796,40.55212844,4.127999783,..,53.07661163,NA,NA,NA
54,Guyana,1a,45.63,63,2009,GUY,23.9,67.792,88.23969215,99.91505636,5428.756159,3.798415037,11.39900017,30,33.17693512,NA,NA,NA
55,Haiti,1a,50.84,42,2009,HTI,8.1,60.148,20.46344848,43.37689132,1570.621094,355.5169086,16.23500061,4.1,47.62973404,NA,NA,NA
56,Honduras,1a,60.99,10,2009,HND,9.8,73.061,149.9369102,167.4648761,3726.826149,72.84632228,3.292000055,18,34.49348555,0.823966086,0.661202788,0.856734335
57,Hong Kong,6b,41.6,84,2009,HKG,69.4,82.77560976,..,..,43949.57139,6640.761905,5.260000229,..,46.77798742,0.834715724,0.918026328,0.272124708
58,Hungary,7b,38.86,90,2009,HUN,62,73.90487805,1016.619981,478.8123062,20651.76183,110.7108141,10.02999973,11.1,45.58522096,0.900874496,0.464373112,0.914700747
59,Iceland,2d,38.14,94,2009,ISL,93,81.75121951,3037.614953,667.6219129,41905.36603,3.177047382,7.21999979,42.9,46.91149518,NA,NA,NA
60,India,5a,53.03,35,2009,IND,5.12,66.244,36.08546841,103.3821403,4026.380865,409.5689192,2.474999905,10.8,23.75727541,0.652852058,0.678643644,0.894611061
61,Indonesia,6c,58.92,16,2009,IDN,6.92,68.853,72.27759936,134.9703704,7813.090106,131.7203106,6.105999947,17.9,37.91729947,0.779368043,0.783792853,0.910941303
62,Iran,3b,42.08,81,2009,IRN,13.8,73.457,396.0547969,684.4726134,16791.05888,44.77322442,11.97000027,2.8,18.57143005,NA,NA,NA
63,Ireland,2c,42.62,78,2009,IRL,67.38,80.1902439,3373.873159,1003.703774,41621.71832,65.83502685,12.60900021,13.9,44.26127801,0.958702445,0.834729671,0.579600155
64,Israel,3b,44.49,67,2009,ISR,63.12,81.40487805,1232.326581,749.8340386,27499.1213,345.9149723,9.534000397,18.3,46.52068651,0.936573029,0.592529774,0.922718406
65,Italy,2e,44.02,69,2009,ITA,48.83,81.63658537,2429.4768,673.1003705,34513.97292,200.9089719,7.749000072,21.3,40.89247838,0.880312502,0.700550497,0.889984667
66,Jamaica,1a,70.09,3,2009,JAM,24.3,74.071,229.0407095,152.5032703,7919.930237,258.1566944,11.36200047,13.3,44.35366069,NA,NA,NA
67,Japan,6b,43.25,75,2009,JPN,78,82.93146341,2434.385738,560.1529102,33198.61611,351.2949246,5.099999905,11.3,41.59181593,0.888356864,0.729888022,0.740108192
68,Jordan,3b,54.59,26,2009,JOR,26,73.266,601.4971303,260.5743598,9357.480948,77.64428925,12.89999962,6.4,17.75600722,0.899033546,0.770953655,0.739464462
69,Kazakhstan,7a,38.54,91,2009,KAZ,18.2,68.42926829,482.2837019,152.1360254,18392.88499,5.960966774,6.550000191,17.8,48.95061059,0.892997801,0.856448293,0.844568431
70,Kenya,4b,27.77,125,2009,KEN,6.1,59.932,38.18150734,58.84234949,2235.680111,71.86595917,9.600000381,9.8,47.37187832,0.789220333,0.583594739,0.912946522
71,"Korea, Rep.",6b,44.43,68,2009,KOR,81.6,79.96829268,1042.103582,687.8492402,28325.2093,508.0139604,3.599999905,14.7,40.84173101,0.810902715,0.600165665,0.787497342
72,Kuwait,3b,27.04,128,2009,KWT,50.8,74.162,2674.623634,395.4696425,79262.75369,158.3078002,1.639999986,7.7,29.29683978,0.926411927,0.818781018,0.675121784
73,Kyrgyzstan,7a,47.09,61,2009,KGZ,16,69.10243902,96.34502961,73.6893666,2746.972069,28.06725756,8.409999847,25.6,42.18104546,0.854935646,0.698919952,0.896227479
74,Laos,6c,57.34,19,2009,LAO,6,63.797,48.31755739,68.22277342,3823.692269,26.64048094,0.800000012,25.2,50.39079225,NA,NA,NA
75,Latvia,7b,36.67,101,2009,LVA,66.84,73.0804878,613.1340588,409.850303,16871.78011,34.44305243,17.51499939,22,49.82915908,0.806939304,0.437064558,0.942090392
76,Lebanon,3b,33.56,110,2009,LBN,30.14,78.161,418.8152797,641.2539603,13286.61257,470.4815249,6.355000019,3.1,23.27095576,0.736411929,0.664733827,0.937024593
77,Lithuania,7b,40.9,86,2009,LTU,59.76,72.91463415,952.8525238,371.4914761,18145.85292,50.46535301,13.78499985,19.1,50.37505829,0.932608962,0.495955795,0.978800118
78,Luxembourg,2c,28.47,122,2009,LUX,87.31,80.63658537,5205.088644,885.1096239,82278.19739,204.8489712,5.122000217,20,43.25956335,0.938559353,0.939101696,0.431606978
